iter	Logloss
0	0.6905350346
1	0.6877046725
2	0.685387676
3	0.6838427374
4	0.6823755779
5	0.6815142234
6	0.6796920652
7	0.6788100023
8	0.6778372084
9	0.6767191769
10	0.6754343721
11	0.6746624985
12	0.6731630285
13	0.6721637502
14	0.6711773045
15	0.6704413265
16	0.6694460542
17	0.6688596611
18	0.6682087576
19	0.6672914391
20	0.6663675689
21	0.6659388216
22	0.6652905175
23	0.6646949966
24	0.6638846176
25	0.6633873927
26	0.6629533791
27	0.6624798686
28	0.6618708295
29	0.6612164357
30	0.6603883799
31	0.6596271247
32	0.6590538572
33	0.6582757505
34	0.657786194
35	0.6566380873
36	0.6560561459
37	0.655416852
38	0.6550114183
39	0.6541880066
40	0.6535953408
41	0.6531510426
42	0.6528481677
43	0.6521401119
44	0.6516911533
45	0.6513449565
46	0.6508723307
47	0.6503884259
48	0.6499925299
49	0.6496349334
50	0.648839317
51	0.64818484
52	0.6475995128
53	0.6469523119
54	0.6462925426
55	0.6460026863
56	0.6455162747
57	0.6451459997
58	0.6447519198
59	0.6442112958
60	0.643756578
61	0.643382096
62	0.642784287
63	0.6421973839
64	0.6417107456
65	0.6414886145
66	0.6410947113
67	0.6407096262
68	0.6404151955
69	0.6397698135
70	0.639239153
71	0.6385899254
72	0.6381632603
73	0.6378379777
74	0.6374299328
75	0.6369221885
76	0.6364817851
77	0.6360131766
78	0.6356886743
79	0.6350786359
80	0.6345924593
81	0.6343775612
82	0.6337492305
83	0.6332120259
84	0.6328110751
85	0.6324948643
86	0.632129902
87	0.6314881991
88	0.6308394542
89	0.630466771
90	0.6301396004
91	0.6296475889
92	0.6293279544
93	0.6289310398
94	0.6285432813
95	0.6279062633
96	0.6274603417
97	0.6271619221
98	0.6267463134
99	0.6261752734
100	0.6256261089
101	0.625101941
102	0.6247842142
103	0.6244707768
104	0.623849746
105	0.6231135006
