iter	Passed	Remaining
0	573	572999
1	1091	544595
2	1638	544431
3	2210	550450
4	2807	558660
5	3406	564270
6	4126	585310
7	4753	589462
8	5352	589358
9	5942	588290
10	6517	585943
11	7122	586415
12	7872	597725
13	8328	586552
14	8566	562553
15	8844	543964
16	9082	525187
17	9424	514135
18	9705	501112
19	10068	493369
20	10420	485812
21	10716	476408
22	10981	466492
23	11229	456657
24	11497	448393
25	11764	440709
26	12004	432618
27	12275	426119
28	12544	420021
29	12797	413789
30	13048	407862
31	13297	402262
32	13559	397328
33	13853	393613
34	14101	388809
35	14369	384795
36	14665	381695
37	14941	378249
38	15236	375449
39	15501	372027
40	15804	369672
41	16052	366156
42	16323	363285
43	16834	365767
44	17452	370387
45	18067	374699
46	18693	379039
47	19088	378585
48	19728	382890
49	20320	386091
50	20874	388432
51	21486	391709
52	22120	395239
53	22675	397249
54	23210	398795
55	23728	399988
56	24295	401937
57	24812	402987
58	25317	403794
59	25882	405494
60	26359	405766
61	26864	406437
62	27428	407941
63	27941	408645
64	28454	409304
65	28979	410102
66	29460	410247
67	29898	409791
68	30519	411794
69	31050	412524
70	31523	412470
71	32078	413450
72	32676	414947
73	33204	415509
74	33694	415562
75	34108	414690
76	34624	415047
77	35155	415557
78	35632	415412
79	36083	414955
80	36624	415535
81	37169	416114
82	37711	416647
83	38230	416899
84	38762	417267
85	39360	418316
86	39935	419089
87	40506	419795
88	40960	419269
89	41499	419610
90	42050	420040
91	42554	419997
92	43097	420318
93	43605	420284
94	44082	419943
95	44548	419501
96	45097	419821
97	45671	420360
98	46185	420337
99	46629	419661
100	47183	419983
101	47670	419688
102	48184	419623
103	48681	419409
104	49186	419259
105	49711	419266
106	50240	419300
107	50734	419030
108	51263	419042
109	51775	418914
110	52250	418476
111	52735	418120
112	53309	418457
113	53787	418034
114	54275	417683
115	54792	417558
116	55238	416889
117	55739	416630
118	56185	415964
119	56738	416084
120	57245	415857
121	57687	415162
122	58150	414620
123	58647	414313
124	59168	414178
125	59607	413470
126	60098	413119
127	60645	413148
128	61175	413050
129	61654	412611
130	62158	412330
131	62597	411627
132	63058	411062
133	63600	411030
134	64118	410835
135	64609	410462
136	65090	410022
137	65628	409940
138	66071	409262
139	66527	408668
140	66982	408072
141	67481	407737
142	68018	407634
143	68535	407406
144	69052	407174
145	69603	407134
146	70240	407585
147	70684	406911
148	71245	406913
149	71800	406868
150	72235	406146
151	72752	405879
152	73283	405693
153	73810	405477
154	74322	405178
155	74852	404969
156	75363	404658
157	75875	404351
158	76476	404510
159	77016	404334
160	77467	403699
161	78014	403557
162	78571	403460
163	79231	403885
164	79678	403223
165	80199	402932
166	80668	402376
167	81105	401666
168	81567	401078
169	82129	400983
170	82706	400956
171	83219	400613
172	83756	400387
173	84257	399982
174	84749	399535
175	85278	399256
176	85749	398708
177	86301	398539
178	86776	398006
